,Name,type,information
0,Giza Pyramids,landmarks,"Burial sites for pharaohs, including the Great Pyramid of Khufu"
1,Sphinx,landmarks,Guardian of the Giza Pyramids
2,Karnak Temple Complex,landmarks,Largest religious complex in ancient Egypt
3,Valley of the Kings,landmarks,Tombs of pharaohs and high-ranking officials
4,Abu Simbel Temples,landmarks,"Built by Ramses II, relocated in the 1960s"
5,Luxor Temple,landmarks,Dedicated to the Theban Triad
6,Egyptian Museum,landmarks,Houses an extensive collection of ancient Egyptian artifacts
7,Citadel of Salah ad-Din,landmarks,Medieval Islamic fortification
8,Mosque of Ibn Tulun,landmarks,One of the oldest and largest mosques in Egypt
9,Qaitbay Citadel,landmarks,Defensive fortress on the Mediterranean coast
10,Philae Temple,landmarks,Dedicated to the goddess Isis
11,Temple of Edfu,landmarks,Dedicated to the god Horus
12,Al-Azhar Mosque,landmarks,One of the oldest universities and mosques in the world
13,Colossi of Memnon,landmarks,Massive stone statues of Amenhotep III
14,Temple of Kom Ombo,landmarks,"Dedicated to Sobek and Horus, known for its symmetrical design"
15,Mosque of Muhammad Ali,landmarks,"Located in the Citadel of Cairo, also known as the Alabaster Mosque"
16,Step Pyramid of Djoser,landmarks,"Oldest known pyramid, part of the Saqqara Necropolis"
17,Red Pyramid,landmarks,Third-largest Egyptian pyramid
18,White Desert,landmarks,Unique landscape with white chalk rock formations
19,Siwa Oasis,landmarks,Ancient oasis with historical significance
20,El-Muizz Street,landmarks,"Historic street with numerous mosques, palaces, and markets"
21,Alexandria Library,landmarks,Modern library and cultural center
22,Aswan High Dam,landmarks,Hydroelectric dam on the Nile River
23,Wadi Rum,landmarks,Scenic desert valley known for its sandstone mountains
24,Coptic Cairo,landmarks,Historic area with ancient Christian churches and landmarks
25,Dahab,landmarks,Popular diving destination with vibrant coral reefs
26,Hurghada,landmarks,Resort town known for its beaches and diving opportunities
27,Mount Sinai,landmarks,Mountain with religious significance and panoramic views
28,Bahariya Oasis,landmarks,Lush oasis with hot springs and historical sites
29,Dendera Temple Complex,landmarks,Ancient temple dedicated to Hathor
30,Medinet Madi,landmarks,Ruins of an ancient city with a Greco-Roman temple
31,Ras Muhammad National Park,landmarks,Marine protected area with diverse underwater life
32,Qasr Ibrim,landmarks,Ancient archaeological site with Nubian history
33,Lake Nasser,landmarks,Artificial lake created by the Aswan High Dam
34,Shali Fortress,landmarks,Ancient fortress made of salt and mudbrick
35,Temple of Montu,landmarks,Ancient Egyptian temple dedicated to the god Montu
36,Qasr Kharana,landmarks,Well-preserved desert castle from the Umayyad period
37,Farafra White Desert,landmarks,Unique white chalk rock formations in the desert
38,Kom el Shoqafa Catacombs,landmarks,Roman burial site with rock-cut tombs and statues
39,Bent Pyramid,landmarks,Ancient pyramid with a distinctive double-slope
40,Abydos Temple,landmarks,Ancient temple dedicated to Osiris
41,Siwa Salt Lakes,landmarks,Salt flats with unique patterns and colors
42,El Alamein War Museum,landmarks,Museum commemorating the Battle of El Alamein in World War II
43,Wadi Al-Hitan,landmarks,"Valley of the Whales, a UNESCO World Heritage Site with fossilized whale skeletons"
44,Felucca Ride on the Nile,landmarks,Traditional sailboat ride on the Nile River
45,Sharm El Sheikh,landmarks,Popular resort destination with beaches and coral reefs
46,Khan El Khalili Bazaar,landmarks,Historic market with traditional shops and cafes
47,Fayoum Oasis,landmarks,Landscape of agricultural land and ancient sites
48,Saint Catherine's Monastery,landmarks,Greek Orthodox monastery at the foot of Mount Sinai
49,Cave Church of Saint Simon,landmarks,Coptic Christian church carved into the Mokattam hills
50,Wadi Degla Protectorate,landmarks,Protected area with diverse flora and fauna
51,Al-Azhar Park,landmarks,Urban park with historic significance and gardens
52,Heliopolis Basilica,landmarks,Coptic Christian basilica in the Heliopolis district
53,Cairo Tower,landmarks,Landmark tower with panoramic views of the city
54,Nile Corniche,landmarks,Promenade along the Nile River with scenic views
55,Wadi El Rayan,landmarks,Protected area with waterfalls and lakes in the desert
56,Mohammed Ali Mosque,landmarks,"Located in the Citadel of Cairo, also known as the Alabaster Mosque"
57,Coptic Museum,landmarks,Museum showcasing Coptic Christian artifacts and art
58,Manial Palace and Museum,landmarks,Historic palace and museum on Rhoda Island
59,Sultan Hassan Mosque,landmarks,Historic mosque and mausoleum from the Mamluk era
60,Gezira Island,landmarks,Island in the Nile River with cultural venues and gardens
61,Egyptian Opera House,landmarks,Cultural and performing arts venue in downtown Cairo
62,Aqua Magic Water Park,landmarks,Water park with slides and attractions
63,Ain Sokhna,landmarks,Coastal town with beaches and resorts
64,Dahab Blue Hole,landmarks,Famous diving site with a deep underwater sinkhole
65,Felucca Ride on the Nile,landmarks,Traditional sailboat ride on the Nile River
66,Sharm El Sheikh,landmarks,Popular resort destination with beaches and coral reefs
67,Khan El Khalili Bazaar,landmarks,Historic market with traditional shops and cafes
68,Fayoum Oasis,landmarks,Landscape of agricultural land and ancient sites
69,Saint Catherine's Monastery,landmarks,Greek Orthodox monastery at the foot of Mount Sinai
70,Cave Church of Saint Simon,landmarks,Coptic Christian church carved into the Mokattam hills
71,Wadi Degla Protectorate,landmarks,Protected area with diverse flora and fauna
72,Al-Azhar Park,landmarks,Urban park with historic significance and gardens
73,Heliopolis Basilica,landmarks,Coptic Christian basilica in the Heliopolis district
74,Cairo Tower,landmarks,Landmark tower with panoramic views of the city
75,Nile Corniche,landmarks,Promenade along the Nile River with scenic views
